"HolderAddress","Balance","PendingBalanceUpdate"
"0x00000000009726632680fb29d3f7a9734e3010e2","77.5168813169271","No"
"0x000000000a38444e0a6e37d3b630d7e855a7cb13","9.137E-15","No"
"0x000000e28faa823d5b53ff6c2922c28335840375","3.047566943901E-06","No"
"0x00080000158a9930aeb508823103b0a977161c47","6.0712362266321E-05","No"
"0x0067fa704199bb46761d187bbfc036f0131cd81d","3.644887821324E-06","No"
"0x00da5ec869243da8efe413662ab8362d94a56d63","0.945943892317746","No"
"0x00fad01f05cd6452cae619e8ea860f2452975b4b","1000.0000743456","No"
"0x01f89316a774ba0400591fab6a9ae30d29fd3b7d","0.232003434594633","No"
"0x023a17b35f14d661a9cabc79c53b32e5a3e5aa61","88.6677660831767","No"
"0x023d3483e558c08314215297038aee2a02f29bec","148.08091228012","No"
"0x02f10a93e67cb56d710ba9fb179e44f368f5050e","3.464690974621E-06","No"
"0x0376fa82676fa0dc8842b7b843682ac2f82afc0a","9.2344564459202E-05","No"
"0x038b48fe89ff49c30d261372b857110dc8b831a6","0.366442263092533","No"
"0x03ebb75a6470a02f6ccdf92672f027b7b73b7aea","334.953114436988","No"
"0x03f8420b1754b086ed30543f071fbd8282c5fa84","7.146186970379E-06","No"
"0x04a475e282f003d50c2f58344dc74a35d602be55","2503.81720922366","No"
"0x050f788d09395724777a67dd08be127cf70dd238","4.418E-15","No"
"0x053ab16a247321e312f3a8a2a0a8abda48707241","6.48359402235446","No"
"0x055f5f8650b82a9a7aeeb124a67eeff4d8f2515f","8982.01213002138","No"
"0x0585c0d0aedf071a07992ad650bdc047cef0c04f","8.34003286256E-07","No"
"0x05a4448597935c508e4ad0d2cf56d56bedb246ce","1.71999645092833","No"
"0x0740655604a8d15dafd78d4dfb335f4e8016b369","9.687612510687E-06","No"
"0x07d87927757311b040357b49cd42a287751e4e9c","4.20196857050542","No"
"0x07ddb647e0100b915d39f4126781d58755a82c19","3.314254902162E-06","No"
"0x08aa69a2b79ad169da3ad4a582c6eb67bae3fa95","374.943907115444","No"
"0x08dd47d6689307e1f599972e32f3c0a36997dc14","1554.46575079779","No"
"0x092f7a56955b7f3f945bf93cbe47696e29b355a0","261.701992472833","No"
"0x09557ca967cc0756acf80787df0318a6cb74ac81","1148.22898687932","No"
"0x096c662279e30e6ef44c98710cc1336b859a5603","98.338129229367","No"
"0x09efc5154239c41a4507d36e6071fbc6c3d02c34","1.08517637812E-07","No"
"0x0a3a1ec7cf57cb920c66b4b4e7956a0bd0234cbd","3.1586278924E-07","No"
"0x0a787a5d6a18282246e4e01e0bffe2e0dd893615","6.938529868137E-06","No"
"0x0b0c47ceed36de03ff44cb0739a0c1edc5bd7e9c","117.243266288801","No"
"0x0c11692f32ec932974a069a240b0c404ef309874","13.7409039627282","No"
"0x0c6cfa72cc787d8e965492c844cc80bfdbdf2c8b","0.00254896300425546","No"
"0x0d3562d8022996c016916e4bc51bea5b261777da","7.015974333113E-06","No"
"0x0d527d22d4d361525bfef59d6aaa753fc20e2fdc","7.868251856078E-05","No"
"0x0dde64678996dda39e0b452bb3741eca874e9432","4.8399568113E-07","No"
"0x0e1b005d9d0037e18b95ef6b1ca46ddfd46a2185","3264.45406807122","No"
"0x0e6c677d8a38bf7133fa79d961d800171c26bb45","3.22478598196E-07","No"
"0x0e8d670d40f8784c7ebb1f1a67902a6086f5f87c","3.273423998117E-06","No"
"0x0e92719a9781a0965029d26576b68b8d962da919","621.667918561058","No"
"0x0e97868ebafaab23d53f3dcdec52fcba0cc068d8","2.7302508559107E-05","No"
"0x0ec8c81ef6b7455517d84864ca2e60a177439ff6","0.000355251570246308","No"
"0x0ec9a2b522bac8f7fe0cc80cfe9246e0194bae1e","0.658093269895167","No"
"0x0eeffd8e38e325c858fa8e5e7099183f805751a4","0.978618974145215","No"
"0x0ef835f9243f220aaf63690432853cf39ea5aa35","6748.43593535562","No"
"0x0f03cf92ecbcffd38c6e9691b2352e1228cba55c","1271.37718209305","No"
"0x0f7b794f6d532e7b4b9e82f55b36566e668f8d4a","25726.9676904403","No"
"0x0fdf4c4e7b963a5afe7815d34aea7429af2aee43","29939.4634866415","No"
"0x103965366324831e7dc1eb812c09f6288ec62de0","1667.40053468237","No"
"0x10994c5775c2a825e15bc016fb03dec068a650ac","56.3084999890182","No"
"0x109d57a256dab8a72f16b066c2ef7ae61066bfba","13917.6536834735","No"
"0x10e19ba32927b28eb5424f7b6a3e2eaa5a607f47","4222.38684546483","No"
"0x11aff4f1ab8bbe4aaa32af2d2bb68d6c211fc040","3.213119567738E-06","No"
"0x11b1785d9ac81480c03210e89f1508c8c115888e","7.2429754726E-08","No"
"0x12093977a68a38e0452f7ab6e6871479f01a975a","3470.00814795421","No"
"0x120f32fe98dbbaa57880171f5e82b51560f3c6a6","1.8693561145877E-05","No"
"0x12d953f46cf1a06b6e6450859746b62227f10193","63207.1835080195","No"
"0x12e4b4a2eb1fb5ba2d10a7dc482c00d4aa04460d","0.000108592115726654","No"
"0x12ff3064a07746462d53958f1f6cf9285eb9cb90","3.778632229826E-06","No"
"0x13d6edab621aac3cbb089dcc22b91e026bdc8a57","256.071916412049","No"
"0x1431ba2d4e5c5ed4bf6e8da41880a7e3b43da32d","1.35550566825E-07","No"
"0x143e43d09b5165b953fde3f187b986ae257fa9d0","613.812124823574","No"
"0x145d729eae53dea212ce970558d6eb1846d15d20","0.000799759456693571","No"
"0x146eb7ba20c4bf9f57726c201d04a6c015d85408","6000","No"
"0x14948f3bdd23c8a56345ac3af60f266939e92e0a","9.018398303947E-05","No"
"0x1496961c0da108be9689407edaa90cf417fdc41c","6.8695287481196E-05","No"
